id,scientific_name,common_name,image_url,taxa_url,observer_name,observation_year,observation_url
63274,Ganoderma tsugae,hemlock varnish shelf,https://inaturalist-open-data.s3.amazonaws.com/photos/466843965/medium.jpg,https://www.inaturalist.org/taxa/63274,skyev,2025,https://www.inaturalist.org/observations/260005314
63274,Ganoderma tsugae,hemlock varnish shelf,https://inaturalist-open-data.s3.amazonaws.com/photos/466295975/medium.jpg,https://www.inaturalist.org/taxa/63274,janice22s,2025,https://www.inaturalist.org/observations/259726365
202418,Gloeoporus dichrous,bicoloured bracket,https://inaturalist-open-data.s3.amazonaws.com/photos/467421226/medium.jpeg,https://www.inaturalist.org/taxa/202418,navyrey,2025,https://www.inaturalist.org/observations/260294020
202418,Gloeoporus dichrous,bicoloured bracket,https://inaturalist-open-data.s3.amazonaws.com/photos/467208097/medium.jpg,https://www.inaturalist.org/taxa/202418,pilgrim123,2025,https://www.inaturalist.org/observations/260188674
202418,Gloeoporus dichrous,bicoloured bracket,https://inaturalist-open-data.s3.amazonaws.com/photos/466850207/medium.jpeg,https://www.inaturalist.org/taxa/202418,evan_walden,2025,https://www.inaturalist.org/observations/260013702
1116537,Gyroporus borealis,N/A,https://static.inaturalist.org/photos/450920341/medium.jpeg,https://www.inaturalist.org/taxa/1116537,bethany11913,2024,https://www.inaturalist.org/observations/251951526
1116537,Gyroporus borealis,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/435987411/medium.jpeg,https://www.inaturalist.org/taxa/1116537,coach_lumpy,2024,https://www.inaturalist.org/observations/244422751
1116537,Gyroporus borealis,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/435996155/medium.jpeg,https://www.inaturalist.org/taxa/1116537,fungal71,2024,https://www.inaturalist.org/observations/244427226
979413,Jackrogersella cohaerens,Beechwood Woodwart,https://static.inaturalist.org/photos/467813568/medium.jpeg,https://www.inaturalist.org/taxa/979413,henning91,2025,https://www.inaturalist.org/observations/260490313
979413,Jackrogersella cohaerens,Beechwood Woodwart,https://static.inaturalist.org/photos/467352546/medium.jpeg,https://www.inaturalist.org/taxa/979413,henning91,2025,https://www.inaturalist.org/observations/260259568
979413,Jackrogersella cohaerens,Beechwood Woodwart,https://static.inaturalist.org/photos/467182930/medium.jpeg,https://www.inaturalist.org/taxa/979413,henning91,2025,https://www.inaturalist.org/observations/260174960
499629,Lactarius atroviridis,dark-spotted milkcap,https://inaturalist-open-data.s3.amazonaws.com/photos/439197120/medium.jpeg,https://www.inaturalist.org/taxa/499629,mush_love323,2024,https://www.inaturalist.org/observations/246061038
499629,Lactarius atroviridis,dark-spotted milkcap,https://static.inaturalist.org/photos/433185159/medium.jpeg,https://www.inaturalist.org/taxa/499629,jdwhite,2024,https://www.inaturalist.org/observations/242964596
499629,Lactarius atroviridis,dark-spotted milkcap,https://inaturalist-open-data.s3.amazonaws.com/photos/424326915/medium.jpeg,https://www.inaturalist.org/taxa/499629,jamesstclaire,2024,https://www.inaturalist.org/observations/238348783
125689,Lactarius camphoratus,Curry Milkcap,https://inaturalist-open-data.s3.amazonaws.com/photos/453543884/medium.jpg,https://www.inaturalist.org/taxa/125689,george_wildlife,2024,https://www.inaturalist.org/observations/253315882
125689,Lactarius camphoratus,Curry Milkcap,https://inaturalist-open-data.s3.amazonaws.com/photos/453543853/medium.jpg,https://www.inaturalist.org/taxa/125689,george_wildlife,2024,https://www.inaturalist.org/observations/253315859
125689,Lactarius camphoratus,Curry Milkcap,https://inaturalist-open-data.s3.amazonaws.com/photos/451121595/medium.jpeg,https://www.inaturalist.org/taxa/125689,hosquillar,2024,https://www.inaturalist.org/observations/252050902
351319,Lactifluus gerardii,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/439839995/medium.jpeg,https://www.inaturalist.org/taxa/351319,loriannkayaker,2024,https://www.inaturalist.org/observations/246383875
351319,Lactifluus gerardii,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/433247595/medium.jpeg,https://www.inaturalist.org/taxa/351319,oldest_soil,2024,https://www.inaturalist.org/observations/242914409
351319,Lactifluus gerardii,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/426941740/medium.jpeg,https://www.inaturalist.org/taxa/351319,alinamartin,2024,https://www.inaturalist.org/observations/239696749
351324,Lactifluus vellereus,Fleecy Milkcap,https://static.inaturalist.org/photos/452422708/medium.jpeg,https://www.inaturalist.org/taxa/351324,guillermo_diaz_aira,2024,https://www.inaturalist.org/observations/252709329
351324,Lactifluus vellereus,Fleecy Milkcap,https://inaturalist-open-data.s3.amazonaws.com/photos/453679662/medium.jpg,https://www.inaturalist.org/taxa/351324,federicocalledda,2024,https://www.inaturalist.org/observations/253382978
351324,Lactifluus vellereus,Fleecy Milkcap,https://static.inaturalist.org/photos/452008983/medium.jpeg,https://www.inaturalist.org/taxa/351324,guillermo_diaz_aira,2024,https://www.inaturalist.org/observations/252493575
63100,Marasmius rotula,collared parachute,https://inaturalist-open-data.s3.amazonaws.com/photos/459684535/medium.jpg,https://www.inaturalist.org/taxa/63100,arthurscreatures,2024,https://www.inaturalist.org/observations/256391626
63100,Marasmius rotula,collared parachute,https://inaturalist-open-data.s3.amazonaws.com/photos/458611196/medium.jpeg,https://www.inaturalist.org/taxa/63100,tom-kirschey,2024,https://www.inaturalist.org/observations/255858426
63100,Marasmius rotula,collared parachute,https://static.inaturalist.org/photos/457968314/medium.jpg,https://www.inaturalist.org/taxa/63100,luca778,2024,https://www.inaturalist.org/observations/255543767
488500,Megacollybia rodmanii,Eastern American Platterful Mushroom,https://inaturalist-open-data.s3.amazonaws.com/photos/448515873/medium.jpg,https://www.inaturalist.org/taxa/488500,tavenner,2024,https://www.inaturalist.org/observations/250743698
488500,Megacollybia rodmanii,Eastern American Platterful Mushroom,https://inaturalist-open-data.s3.amazonaws.com/photos/441349483/medium.jpeg,https://www.inaturalist.org/taxa/488500,marinaknott,2024,https://www.inaturalist.org/observations/247148171
488500,Megacollybia rodmanii,Eastern American Platterful Mushroom,https://inaturalist-open-data.s3.amazonaws.com/photos/438396246/medium.jpeg,https://www.inaturalist.org/taxa/488500,beatrixfaliseh,2024,https://www.inaturalist.org/observations/245651181
128516,Mycena leaiana australis,N/A,https://static.inaturalist.org/photos/466454928/medium.jpeg,https://www.inaturalist.org/taxa/128516,zzzuu,2025,https://www.inaturalist.org/observations/259806151
128516,Mycena leaiana australis,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/466224302/medium.jpeg,https://www.inaturalist.org/taxa/128516,jeremyhegge,2025,https://www.inaturalist.org/observations/259690966
128516,Mycena leaiana,orange mycena,https://inaturalist-open-data.s3.amazonaws.com/photos/462087955/medium.jpg,https://www.inaturalist.org/taxa/128516,fifthkingdommushrooms,2025,https://www.inaturalist.org/observations/257571516
60782,Pluteus cervinus,Deer Mushroom,https://inaturalist-open-data.s3.amazonaws.com/photos/466143019/medium.jpeg,https://www.inaturalist.org/taxa/60782,pedroramalho,2025,https://www.inaturalist.org/observations/259651983
60782,Pluteus cervinus,Deer Mushroom,https://static.inaturalist.org/photos/465352577/medium.jpeg,https://www.inaturalist.org/taxa/60782,angelo47967,2025,https://www.inaturalist.org/observations/259257299
60782,Pluteus cervinus,Deer Mushroom,https://inaturalist-open-data.s3.amazonaws.com/photos/463263771/medium.jpg,https://www.inaturalist.org/taxa/60782,rilocybin,2025,https://www.inaturalist.org/observations/258219134
179045,Pseudomerulius curtisii,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/452918647/medium.jpg,https://www.inaturalist.org/taxa/179045,tombigelow,2024,https://www.inaturalist.org/observations/252988990
179045,Pseudomerulius curtisii,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/452399299/medium.jpeg,https://www.inaturalist.org/taxa/179045,obblue,2024,https://www.inaturalist.org/observations/252696924
179045,Pseudomerulius curtisii,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/449666676/medium.jpeg,https://www.inaturalist.org/taxa/179045,slatebeltteas,2024,https://www.inaturalist.org/observations/251321538
1113584,Radulomyces copelandii,Asian Beauty,https://inaturalist-open-data.s3.amazonaws.com/photos/467780917/medium.jpg,https://www.inaturalist.org/taxa/1113584,ruthsworld,2025,https://www.inaturalist.org/observations/260474382
1113584,Radulomyces copelandii,Asian Beauty,https://inaturalist-open-data.s3.amazonaws.com/photos/467655246/medium.jpg,https://www.inaturalist.org/taxa/1113584,rhsh,2025,https://www.inaturalist.org/observations/260412140
1113584,Radulomyces copelandii,Asian Beauty,https://inaturalist-open-data.s3.amazonaws.com/photos/467652544/medium.jpg,https://www.inaturalist.org/taxa/1113584,rhsh,2025,https://www.inaturalist.org/observations/260410753
202417,Russula albonigra,Blackening Russula,https://inaturalist-open-data.s3.amazonaws.com/photos/460507430/medium.jpeg,https://www.inaturalist.org/taxa/202417,s_buttrick,2024,https://www.inaturalist.org/observations/256797289
202417,Russula albonigra,Blackening Russula,https://inaturalist-open-data.s3.amazonaws.com/photos/449789414/medium.jpeg,https://www.inaturalist.org/taxa/202417,klbarry,2024,https://www.inaturalist.org/observations/251382913
202417,Russula albonigra,Blackening Russula,https://static.inaturalist.org/photos/448261085/medium.jpeg,https://www.inaturalist.org/taxa/202417,fungiofflorida,2024,https://www.inaturalist.org/observations/250619051
629242,Russula aquosa,red swamp brittlegill,https://inaturalist-open-data.s3.amazonaws.com/photos/285438971/medium.jpg,https://www.inaturalist.org/taxa/629242,juniperus_com,2022,https://www.inaturalist.org/observations/164932271
629242,Russula aquosa,red swamp brittlegill,https://static.inaturalist.org/photos/223054927/medium.jpg,https://www.inaturalist.org/taxa/629242,tr3y,2022,https://www.inaturalist.org/observations/131103039
629242,Russula aquosa,red swamp brittlegill,https://inaturalist-open-data.s3.amazonaws.com/photos/316775704/medium.jpeg,https://www.inaturalist.org/taxa/629242,fabio-mauri,2021,https://www.inaturalist.org/observations/181771974
118179,Russula brevipes,Short-stemmed Russula,https://inaturalist-open-data.s3.amazonaws.com/photos/465799695/medium.jpg,https://www.inaturalist.org/taxa/118179,forest_nugget,2025,https://www.inaturalist.org/observations/259482393
118179,Russula brevipes,Short-stemmed Russula,https://static.inaturalist.org/photos/466716426/medium.jpg,https://www.inaturalist.org/taxa/118179,julienpometta,2025,https://www.inaturalist.org/observations/259939711
352285,Russula foetentula,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/254398783/medium.jpeg,https://www.inaturalist.org/taxa/352285,johnplischke,2022,https://www.inaturalist.org/observations/147804924
